N 	 C direct 	 sigma C direct 	 C samples 	 sigma C sample 	 P direct 	 sigma P direct 	 P sample 	 sigma P sample
3	13.1904	2.72555	16.0699	1.32729	5.51392	0.107529	5.76889	0.469622
4	14.406	2.2786	15.3376	1.19042	5.31473	0.213207	6.216	0.556937
6	15.4324	1.63559	15.0414	1.12879	4.83726	0.364963	5.60605	0.522513
7	15.6092	1.39358	14.6138	1.04543	4.79516	0.31131	5.29463	0.540368
9	15.2177	1.09558	14.6156	0.843957	4.6964	0.250382	5.16601	0.428974
11	14.7254	0.985479	14.1748	0.744927	4.84962	0.227306	5.22724	0.349861
14	14.866	0.798261	14.794	0.682577	4.70001	0.246184	5.35554	0.357633
18	15.578	0.721775	14.6276	0.715285	4.63775	0.22975	5.27116	0.307768
23	15.7089	0.612578	15.3079	0.694996	4.76006	0.212068	5.35803	0.250036
29	15.6341	0.500376	15.542	0.625832	4.97236	0.198905	5.27082	0.226285
37	15.2797	0.487033	15.2599	0.536627	5.05655	0.176024	5.35936	0.206571
48	14.9618	0.41921	15.1318	0.452777	5.25008	0.177067	5.47097	0.176875
62	14.763	0.349963	15.3566	0.408084	5.32104	0.150322	5.45987	0.167383
80	14.5767	0.30405	15.0055	0.351469	5.48381	0.132845	5.47748	0.146049
104	14.6506	0.261609	15.0835	0.310321	5.52569	0.119557	5.38258	0.129786
135	14.6951	0.242515	15.159	0.271632	5.51467	0.106232	5.39213	0.116406
175	14.7744	0.212127	15.2804	0.234398	5.45897	0.0965302	5.42994	0.100084
227	14.7372	0.179359	15.0853	0.201342	5.46702	0.0853749	5.43627	0.0865951
295	14.767	0.157581	15.0159	0.176725	5.42972	0.0735904	5.43757	0.0740167
383	14.7662	0.135283	15.1532	0.155873	5.42602	0.0650533	5.42559	0.0638211
497	14.9076	0.122609	15.1582	0.133718	5.39028	0.0571791	5.4126	0.054899
646	14.9033	0.106268	15.1458	0.11718	5.42653	0.0492655	5.4316	0.0492052
839	14.8936	0.0953828	15.0566	0.10198	5.44185	0.0435076	5.45196	0.0435082
1090	14.8361	0.0837266	15.0135	0.088675	5.46014	0.0379525	5.45316	0.0383031
1417	14.8558	0.0748117	14.9827	0.0774954	5.46278	0.0332908	5.44474	0.0335629
1842	14.8668	0.064853	14.9722	0.0671522	5.45737	0.0295196	5.45922	0.0298268
2394	14.8528	0.0575656	14.9472	0.0582406	5.46683	0.0260007	5.46284	0.0260875
3112	14.8679	0.0505495	14.9841	0.0511423	5.46897	0.0227467	5.46356	0.0229668
4045	14.8709	0.0442865	14.9844	0.0445176	5.47525	0.0201969	5.47004	0.0201788
5258	14.9133	0.0388076	14.9925	0.0388709	5.46715	0.017634	5.45701	0.0178124
6835	14.9111	0.0340577	14.9844	0.0341626	5.47671	0.0155581	5.4706	0.0155811
8885	14.907	0.0297543	14.9879	0.0300208	5.46916	0.0137089	5.46831	0.0136807
11550	14.9168	0.0261268	14.9872	0.0263238	5.47102	0.0120985	5.46845	0.012017
15015	14.9332	0.0228823	14.9847	0.0230222	5.46963	0.0105875	5.46329	0.0106169
19519	14.9545	0.0201778	14.9825	0.0202023	5.46802	0.00930837	5.46522	0.00931982
